point	21	2	0	5	20229.519343710945	7603.770935713718	132.0	19991	7675
point	20	2	1	5	15699.098580287595	15422.0	298.0	15690	15422
point	18	3	1	5	8912.693101422112	19726.16097322675	504.5	8843	19730
point	17	3	0	5	11399.37113981029	14648.990962033762	298.0	11090	14578
point	16	3	4	5	13428.866933004132	19312.27621522988	63.0625	13454	19256
point	15	3	1	5	8346.959121445947	8195.216329832672	298.0	8393	8231
point	14	4	0	5	14452.764646852474	27913.599879579047	298.0	14501	28012
point	13	4	0	5	11334.769637849784	16864.610186119295	447.99999999999994	11303	16861
point	12	4	0	5	5879.882760352269	17803.188545180277	672.0	5964	17826
point	11	4	1	5	6775.899404145319	13376.848704144935	132.0	6097	13777
point	10	4	0	5	16196.948912572934	10969.132055045087	132.0	16166	10950
point	9	5	0	5	16660.074217834008	10599.191707529326	132.0	16697	10567
point	8	5	2	5	4736.70258498431	17492.812964136843	252.25	4828	17320
point	7	5	2	5	10854.986127385437	18369.625078062745	252.25000000000003	10717	18211
point	19	3	5	5	10513.211427148226	17168.94859507564	31.53125	10504	17322
point	5	5	2	5	12705.296255955365	14877.10393990359	252.25	12683	14864
point	4	6	1	5	17035.93331537819	13768.414408187546	504.50000000000006	17300	13648
point	3	6	0	5	9649.911988093083	17856.6802161709	298.0	9642	17856
point	2	6	2	5	14630.00663635614	22058.07299991754	252.25	14638	22146
point	1	6	0	5	11964.811310996913	25512.837695323942	298.0	11973	25151
point	0	6	1	5	12701.244536466305	12770.141487391751	504.50000000000006	12284	12624
newpoint	25	1	1	5	10496.0	26326.0	504.5	10465	26088
newpoint	26	1	0	5	11883.0	28080.0	298.0	11880	28036
newpoint	27	1	1	5	13393.0	25779.0	298.0	13348	25689
newpoint	28	1	0	5	12078.0	27074.0	298.0	11892	27102
newpoint	29	1	0	5	6722.0	19330.0	298.0	6856	19299
point	29	2	0	6	7002.878550505181	19234.42589768968	298.0	7103	19169
point	28	2	0	6	11783.286246508971	27118.132901023964	298.0	11299	27190
point	27	2	1	6	13260.26684815609	25512.193469556252	298.0	13222	25435
point	26	2	0	6	11696.25659572561	27916.489382205553	298.0	11694	27916
point	25	2	1	6	10571.642258426467	25845.997659327066	504.50000000000006	10623	25720
point	24	3	1	6	11386.817218104672	11469.392140462056	448.0	11370	11438
point	23	3	2	6	9735.232673254173	15704.646991621901	252.25	9788	15706
point	22	3	0	6	10674.232235110629	27708.857880885033	672.0	10666	27643
point	21	3	0	6	20103.03868742189	7641.541871427436	132.0	19991	7675
point	20	3	1	6	15504.798476486058	15204.466215671102	298.0	15494	15194
point	18	4	1	6	8720.521176354894	19312.909951911264	504.5	8584	18848
point	17	4	0	6	11108.920015190604	14582.341549379487	298.0	11090	14578
point	16	4	4	6	13453.753309710375	19254.592414229784	63.0625	13437	19159
point	15	4	1	6	8460.647691088225	8390.930966349051	298.0	8642	8525
point	14	5	0	6	14584.267430664573	28181.015167774473	298.0	14736	28489
point	13	5	0	6	11109.452879265875	17228.790016850708	448.00000000000006	10979	17478
point	12	5	0	6	6531.588197208473	17928.059458361884	672.0	6598	17936
point	11	5	1	6	6662.182597383067	13443.874727895392	132.0	6097	13777
point	10	5	0	6	16117.645647372025	10867.513163164042	132.0	16098	10834
point	9	6	0	6	16764.477807158568	10518.649760224962	132.0	16824	10476
point	8	6	2	6	4853.298660555127	17269.15626990829	252.25000000000003	4947	17076
disappearpoint	7	5	2	6	10717.0	18211.0	0.0	10717	18211
point	19	4	5	6	10511.317140722338	17200.42289261346	31.53125	10504	17322
point	5	6	2	6	12539.63185398262	14715.61667708258	252.25	12576	14630
point	4	7	1	6	17503.78234501188	13581.770737871138	504.5	18100	13388
point	3	7	0	6	9330.10302130309	17723.727064796756	672.0	9311	17716
point	2	7	2	6	14652.433275215082	22309.32390374962	252.25	14657	22361
point	1	7	0	6	11971.553573361922	25214.91397707009	298.0	11973	25151
point	0	7	1	6	12230.772861004565	12656.571831325564	504.5	12016	12788
newpoint	30	1	0	6	10160.0	21552.0	298.0	10391	21541
newpoint	31	1	0	6	11735.0	28084.0	198.0	11863	28138
newpoint	32	1	0	6	9095.0	20008.0	298.0	9100	19997
newpoint	33	1	0	6	10277.0	12973.0	672.0	10318	13043
newpoint	34	1	0	6	6614.0	18133.0	298.0	6652	18163
point	34	2	0	7	6832.017042829445	18153.889112913792	448.0	7149	18431
point	33	2	0	7	10909.161617673159	13178.851329735078	1009.0	11396	13028
point	32	2	0	7	9071.239381728303	19717.42749168446	672.0	8843	19730
point	31	2	0	7	11829.517715120817	28220.36642080279	298.0	11813	28261
point	30	2	0	7	10385.985987023201	21474.45037321704	298.0	10380	21395
point	28	3	0	7	11488.514299205935	27161.876461500637	298.0	11299	27190
point	27	3	1	7	13128.10941193459	25245.100991055675	298.00000000000006	13089	25166
point	26	3	0	7	11425.693571748237	27991.914988469318	298.0	11404	28005
point	25	3	1	7	10767.264397536233	25381.01396960917	504.5	10835	25225
point	24	4	1	7	11172.80937955019	11075.813942780676	448.0	11052	10854
